"Homeruns" "Appearances"
11 603
14 675
28 675
21 619
6 521
16 588
6 575
17 571
1 734
23 534
21 554
13 580
5 561
10 686
17 571
31 692
19 643
26 580
32 596
8 613
21 582
10 658
20 667
10 739
8 506
18 623
34 636
4 532
5 529
32 714
21 617
26 671
4 537
42 700
1 702
24 575
27 529
13 616
25 615
4 675
6 602
25 603
6 576
16 653
8 502
25 658
18 610
19 657
1 513
31 646
